Street,Area,City,Price,Alicuota,sqms,sqm_cov,Rooms,Toilets,Garages,Url,PricePerSqm,lat,lng
Amplio y Lujoso Departamento 398 m2 de Alquiler,El Bosque ,Quito,1000,['398'],397,['397'],['3'],['3'],['3'],https://www.plusvalia.com/propiedades/el-bosque-amplio-y-lujoso-departamento-398-m-sup2--de-57985375.html,2.5188916876574305,-0.1637022,-78.4993452
República del Salvador,La Carolina,Quito,700,['1'],98,['86'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/rento-departamento-amoblado-57851929.html,7.142857142857143,-0.1800651,-78.47982309999999
Lote 46,El Inca,Quito,750,['40'],265,['220'],['4'],['3'],['2'],https://www.plusvalia.com/propiedades/hermoso-departamento-de-220-norte-de-quito-57723970.html,2.830188679245283,-0.1568082,-78.4794568
La Coruña,Centro Norte,Quito,790,['180'],155,['130'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/alquiler-hermoso-departamento-3-dorm.-sector-la-coruna-58003979.html,5.096774193548387,-0.2015864,-78.4828962
Rumipamba y Amazonas,Centro Norte,Quito,550,['75'],79,['68'],['2'],['1'],['1'],https://www.plusvalia.com/propiedades/full-amoblado-rento-departamento-2-dorm.-sector-57851754.html,6.962025316455696,-0.1849777,-78.4872421
Arriendo Departamento DE Lujo  DE 248.55 m2 NO Amoblado,González Suárez,Quito,1600,['404'],254,['248'],['3'],['4'],['3'],https://www.plusvalia.com/propiedades/gonzalez-suarez-coruna-arriendo-departamento-de-57847118.html,6.299212598425197,-0.1806532,-78.4678382
Solca,Norte de Quito,Quito,420,['0'],100,['90'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/solca-departamento-90-m-sup2--3-habitaciones-2-57841585.html,4.2,-0.1366775,-78.4689313
LA CAROLINA,La Carolina,Quito,525,['125'],175,['140'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/amplio-departamento-la-carolina-58010857.html,3.0,-0.1854961,-78.4837189
Av. Carvajal y Alonso de Torres,El Bosque ,Quito,1600,['400'],350,['295'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/rento-lujoso-penth-house-de-295-m-mas-45-m-de-terraza-57774524.html,4.571428571428571,-0.161632,-78.4964962
mariano echeverria y francisco feijoo,Quito Tenis,Quito,1000,['200'],175,['175'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/hermoso-dpto-quito-tenis-oportunidad-57848902.html,5.714285714285714,-0.1647836,-78.4927689
Carolina,Centro Norte,Quito,750,['150'],160,['160'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/renta-alquilo-arriendo-departamento-sector-57813147.html,4.6875,-0.1854961,-78.4837189
Calle Catalina Aldaz N23-534 y Portuga,Iñaquito Alto,Quito,1500,['10'],128,['110'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/arriendo-departamento-de-lujo-full-amoblado-$1500-57837853.html,11.71875,-0.1826363,-78.4768289
Monteserrin,Centro Norte,Quito,1400,['1'],368,['298'],['0'],['4'],['2'],https://www.plusvalia.com/propiedades/-para-oficinas-departamento-para-oficinas-57865969.html,3.8043478260869565,-0.1806532,-78.4678382
,Norte de Quito,Quito,520,['100'],100,['100'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/arriendo-amoblado-departamento-100-m-3-habitaciones-57802881.html,5.2,-0.3122637,-78.54190489999999
calle de la pita,El Bosque ,Quito,500,['64'],80,['70'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/rento-lindo-depto-de-2-dorm.-sector-del-bosque-57717804.html,6.25,-0.1585473,-78.4975193
,Centro Norte,Quito,700,['0'],100,['100'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/republica-del-salvador.-departamento-amoblado-57778268.html,7.0,-0.1775545,-78.4862109
Isla Baltra E302 y Jorge Drom,Iñaquito Alto,Quito,480,['0'],120,['120'],['4'],['2'],['1'],https://www.plusvalia.com/propiedades/arriendo-departamento-4d-sector-jipijapa-57905377.html,4.0,-0.1664225,-78.484712
,Cumbayá,Quito,1800,['0'],350,['260'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/en-renta-hermoso-departamento-con-area-verde-cumbaya-57923344.html,5.142857142857143,-0.2107252,-78.44108949999999
Moscu,Centro Norte,Quito,630,['130'],120,['90'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/republica-del-salvador-sin-muebles-2-dorm.-$630-57918022.html,5.25,-0.1849952,-78.4803613
GONZALEZ SUAREZ,González Suárez,Quito,450,['115'],104,['89'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/mini-departamento-en-renta-sector-gonzalez-suarez-57800551.html,4.326923076923077,-0.197548,-78.4801671
DE LOS MOTILONES,Centro Norte,Quito,560,['1'],200,['200'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/re-max-futuro-renta-depar-3d-sector-granados-57854083.html,2.8,-0.166199,-78.4664882
,La Carolina,Quito,525,['65'],90,['72'],['2'],['1'],['1'],https://www.plusvalia.com/propiedades/arriendo-departamento-amoblado-sector-carolina-2-dorm.-57993259.html,5.833333333333333,-0.1854961,-78.4837189
,La Concepción,Quito,510,['75'],110,['90'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/departamento-de-renta-sector-la-concepcion-58004612.html,4.636363636363637,-0.1427165,-78.4923704
Conjunto San Martín,Centro Norte,Quito,1000,['200'],270,['210'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/en-renta.-duplex-sin-amoblar-con-jardin.-conjunto-san-57857557.html,3.7037037037037037,-0.1792629,-78.49728689999999
calle San juan en Cumbaya,Cumbayá,Quito,1300,['200'],175,['160'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/excelente-departamento-57892831.html,7.428571428571429,-0.2139929,-78.5102022
REPÚBLICA DEL SALVADOR Y SUIZA,Centro Norte,Quito,650,['100'],90,['90'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/republica-del-salvador-departamento-amoblado-2-dorm.-57771770.html,7.222222222222222,-0.1857308,-78.4821307
Pasaje La Fayette y Bosmediano,Bellavista,Quito,1800,['583'],683,['450'],['3'],['5'],['3'],https://www.plusvalia.com/propiedades/negociable-bosmediano-y-pasaje-lafayette-venta-57717585.html,2.6354319180087846,-0.1891626,-78.475704
,La Carolina,Quito,950,['100'],270,['180'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/penthauses-estrenar-piscina-republica-del-salvador-58006245.html,3.5185185185185186,-0.1854961,-78.4837189
REAL AUDIENCIA Y VILLALOBOS,Ponceano,Quito,500,['53'],95,['95'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/flamante-departamento-en-renta-para-vivir-divinamente.-57927732.html,5.2631578947368425,-0.1025891,-78.4821018
Granda Centeno ,Granda Centeno,Quito,585,['1'],100,['100'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/departamento-con-balcon-de-alquiler-sector-granda-57798095.html,5.85,-0.1728797,-78.4965043
Humboldt y Coruña ,González Suárez,Quito,1710,['495'],400,['354'],['3'],['3'],['3'],https://www.plusvalia.com/propiedades/arriendo-lujoso-departamento-3-dorm.-sector-gonzalez-57748556.html,4.275,-0.1946794,-78.47937259999999
